Conditions,,,Comfort,,,,,
12:00,,26 °C,Scattered clouds.,6 km/h,↑,84%,1016 mbar,6 km
12:30,,27 °C,Scattered clouds.,6 km/h,↑,79%,1016 mbar,6 km
13:00,,26 °C,Scattered clouds.,6 km/h,↑,84%,1015 mbar,6 km
13:30,,26 °C,Scattered clouds.,6 km/h,↑,84%,1014 mbar,6 km
14:00,,27 °C,Scattered clouds.,6 km/h,↑,79%,1014 mbar,6 km
14:30,,27 °C,Scattered clouds.,6 km/h,↑,74%,1013 mbar,6 km
15:00,,27 °C,Scattered clouds.,6 km/h,↑,74%,1013 mbar,6 km
15:30,,28 °C,Scattered clouds.,9 km/h,↑,70%,1013 mbar,6 km
16:30,,27 °C,Scattered clouds.,9 km/h,↑,74%,1013 mbar,6 km
17:00,,27 °C,Scattered clouds.,9 km/h,↑,79%,1013 mbar,6 km
17:30,,26 °C,Scattered clouds.,9 km/h,↑,79%,1013 mbar,6 km
18:00,,25 °C,Scattered clouds.,9 km/h,↑,83%,1013 mbar,6 km
18:30,,25 °C,Passing clouds.,6 km/h,↑,83%,1014 mbar,6 km
19:00,,25 °C,Passing clouds.,No wind,↑,83%,1014 mbar,6 km
19:30,,25 °C,Passing clouds.,4 km/h,↑,83%,1015 mbar,6 km
20:00,,24 °C,Passing clouds.,4 km/h,↑,89%,1015 mbar,6 km
20:30,,23 °C,Passing clouds.,No wind,↑,94%,1015 mbar,6 km
21:00,,23 °C,Passing clouds.,No wind,↑,94%,1015 mbar,6 km
21:30,,23 °C,Passing clouds.,No wind,↑,94%,1015 mbar,6 km
