,Icon,Temp,Wind,Precip,Cloud,Humidity,Pressure
Tue.233.00.am,,75.0f,4.7 mph,0.00 in,58 .0,91 .0,29.8 in
Tue.236.00.am,,75.2f,3.4 mph,0.00 in,87 .0,90 .0,29.8 in
Tue.239.00.am,,79.5f,1.3 mph,0.01 in,66 .0,82 .0,29.9 in
Tue.2312.00.pm,,84.9f,6.5 mph,0.02 in,86 .0,72 .0,29.8 in
Tue.233.00.pm,,82.0f,8.7 mph,0.03 in,85 .0,81 .0,29.7 in
Tue.236.00.pm,,77.4f,6.5 mph,0.11 in,77 .0,89 .0,29.8 in
Tue.238.00.pm,,76.5f,3.1 mph,0.26 in,57 .0,92 .0,29.8 in
Tue.230.00.am,,75.6f,5.6 mph,0.00 in,53 .0,90 .0,29.8 in
Tue.233.00.am,,75.0f,4.7 mph,0.00 in,58 .0,91 .0,29.8 in
Tue.236.00.am,,75.2f,3.4 mph,0.00 in,87 .0,90 .0,29.8 in
Tue.239.00.am,,79.5f,1.3 mph,0.01 in,66 .0,82 .0,29.9 in
Tue.2312.00.pm,,84.9f,6.5 mph,0.02 in,86 .0,72 .0,29.8 in
Tue.233.00.pm,,82.0f,8.7 mph,0.03 in,85 .0,81 .0,29.7 in
Tue.236.00.pm,,77.4f,6.5 mph,0.11 in,77 .0,89 .0,29.8 in
Tue.238.00.pm,,76.5f,3.1 mph,0.26 in,57 .0,92 .0,29.8 in
Tue.230.00.am,,75.6f,5.6 mph,0.00 in,53 .0,90 .0,29.8 in
Tue.233.00.am,,75.0f,4.7 mph,0.00 in,58 .0,91 .0,29.8 in
Tue.236.00.am,,75.2f,3.4 mph,0.00 in,87 .0,90 .0,29.8 in
Tue.239.00.am,,79.5f,1.3 mph,0.01 in,66 .0,82 .0,29.9 in
Tue.2312.00.pm,,84.9f,6.5 mph,0.02 in,86 .0,72 .0,29.8 in
Tue.233.00.pm,,82.0f,8.7 mph,0.03 in,85 .0,81 .0,29.7 in
Tue.236.00.pm,,77.4f,6.5 mph,0.11 in,77 .0,89 .0,29.8 in
Tue.238.00.pm,,76.5f,3.1 mph,0.26 in,57 .0,92 .0,29.8 in
